개설강좌,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과대분류,교과분야,교과영역,전공(트랙),학위구분,성적부여방법,학점,이론시수,실습시수,코드쉐어여부,영어강의여부,요일/교시/강의실,선수과목,비고
112,기초학부,전체,HSS203,01,근대 사회와 사상,이원근,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,S/U,3.0,3.0,0.0,N,N,월14:00-17:00(E7 - L30),,
113,기초학부,전체,HSS204,01,글로벌 정치경제 - 영어 강좌,윤지성,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,Y,"화11:00-12:30(E7 - 235), 목11:00-12:30(E7 - 235)",,영어 강좌 / Only English
114,기초학부,전체,HSS207a,01,커뮤니케이션 특강 - 영어 강좌,조성겸,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,Y,목13:00-16:00(E7 - G01),,영어 강좌 / Only English
115,기초학부,전체,HSS208a,01,철학 고전의 이해,김병재,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,"월13:00-14:30(E7 - 235), 수13:00-14:30(E7 - 235)",,"2018학번 이후만 수강 신청, 정원 : 32명"
116,기초학부,전체,HSS212,01,권리변동의 일반,함상범,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,월09:30-12:30(E7 - L30),,
117,기초학부,전체,HSS215,01,도시지리학,숀센,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,Y,"월15:00-16:30(E7 - 224), 수15:00-16:30(E7 - 224)",,
118,기초학부,전체,HSS218,01,세계종교입문,박범석,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,목13:00-16:00(E7 - L30),,
119,기초학부,전체,HSS221,01,사회과학 특강Ⅰ,곽금주,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,화14:00-17:00(E7 - L20),,
120,기초학부,전체,HSS222,01,사회과학 특강Ⅱ - 인류 진화와 문화,이정덕,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,수15:00-18:00(E7 - L30),,
121,기초학부,전체,HSS222,02,사회과학 특강Ⅱ - 문화와 사회,최태섭,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,N,목13:00-16:00(E7 - L20),,
122,기초학부,전체,HSS223,01,심리철학 - 영어 강좌,김병재,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,Y,"월14:30-16:00(E7 - 235), 수14:30-16:00(E7 - 235)",,영어 강좌 (Only English)
123,기초학부,전체,HSS301a,01,Scientific Writing,이정아,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - L28), 목09:00-10:30(E7 - L28)",,"2019 - 2014 학번:  2학점 SW 대체과목, 선수과목: AE: Research&Writing"
124,기초학부,전체,HSS301a,02,Scientific Writing,Mark Silverlock,기초필수,교과,이론,기초,인문사회,쓰기·읽기 중점,,,등급,3.0,3.0,0.0,N,Y,"월18:00-19:30(E7 - L28), 수18:00-19:30(E7 - L28)",,"2019 - 2014 학번:  2학점 SW 대체과목, 선수과목: AE: Research&Writing"
125,기초학부,전체,INT201,01,국내 인턴십Ⅰ,김소희,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,1.0,0.0,1.0,N,N,토17:00-18:00(E7 - 241),,
126,기초학부,전체,INT202,01,국내 인턴십Ⅱ,김소희,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,1.0,0.0,1.0,N,N,토17:00-18:00(E7 - 241),,
127,기초학부,전체,INT203,01,국내 인턴십Ⅲ,김소희,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,2.0,0.0,2.0,N,N,토17:00-19:00(E7 - 241),,
128,기초학부,전체,INT204,01,국내 인턴십Ⅳ,김소희,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,2.0,0.0,2.0,N,N,토17:00-19:00(E7 - 241),,
129,기초학부,전체,INT211,01,해외 인턴십Ⅴ,김회준,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,2.0,0.0,10.0,N,N,토13:30-23:30(E7 - 241),,
130,기초학부,전체,INT212,01,해외 인턴십Ⅵ,김회준,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,2.0,0.0,10.0,N,N,토13:30-23:30(E7 - 241),,
131,기초학부,전체,INT213,01,해외 인턴십Ⅶ,김회준,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,2.0,0.0,10.0,N,N,토13:30-23:30(E7 - 241),,
132,기초학부,전체,INT214,01,해외 인턴십Ⅷ,김회준,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,2.0,0.0,10.0,N,N,토13:30-23:30(E7 - 241),,
133,기초학부,전체,INT401,01,국내 인턴십 Ⅴ,김소희,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,2.0,0.0,10.0,N,N,토13:30-23:30(E7 - 241),,
134,기초학부,전체,INT402,01,국내 인턴십 Ⅵ,김소희,심화필수,연구(Internship),실습,심화,현장,인턴십,,,S/U,2.0,0.0,10.0,N,N,토13:30-23:30(E7 - 241),,
135,기초학부,전체,LS203,01,세포생물학 실험(이),"이창훈, 정찬, 조정아",심화필수,교과,실습,심화,전공,트랙,,이학사,등급,3.0,0.0,6.0,N,N,"월16:30-19:30(E4 - 225), 수16:30-19:30(E4 - 225)","(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ, (BS115) 일반생물학 실험",
136,기초학부,전체,LS203,02,세포생물학 실험(이),"정찬, 이창훈, 조정아",심화필수,교과,실습,심화,전공,트랙,,이학사,등급,3.0,0.0,6.0,N,N,"화15:30-18:30(E4 - 225), 목15:30-18:30(E4 - 225)","(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ, (BS115) 일반생물학 실험",
137,기초학부,전체,LS203,03,세포생물학 실험(이),"조정아, 정찬, 이창훈",심화필수,교과,실습,심화,전공,트랙,,이학사,등급,3.0,0.0,6.0,N,N,"화15:00-18:00(E4 - 224), 목15:00-18:00(E4 - 224)","(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ, (BS115) 일반생물학 실험",
138,기초학부,전체,LS204,01,세포생물학(이),"백명인, 정영태",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화15:00-16:30(E7 - 233), 목15:00-16:30(E7 - 233)",(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ,
139,기초학부,전체,LS204,02,세포생물학(이),"백명인, 정영태",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"월13:00-14:30(E7 - 236), 수13:00-14:30(E7 - 236)",(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ,
140,기초학부,전체,LS304,01,생명체의 다양성과 유기적 관계(이),이상임,심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 229), 목09:00-10:30(E7 - 229)",,
141,기초학부,전체,LS305,01,신경과학Ⅰ(이),"서병창, 정한빈, 엄지원",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화13:00-14:30(E7 - L21), 목13:00-14:30(E7 - L21)",,"학기변경으로 한시적으로 I,II 함께 개설"
142,기초학부,전체,LS306,01,신경과학Ⅱ(이),"현정호, 이효상, 최한경",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"월14:30-16:00(E7 - L21), 수14:30-16:00(E7 - L21)",,"학기변경으로 한시적으로 I,II 함께 개설"
143,기초학부,전체,LS308,01,생화학Ⅰ(이),"김진해, 김유리, 이종찬, 이재민",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"월16:30-18:00(E7 - 241), 수16:30-18:00(E7 - 241)",(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ,
144,기초학부,전체,LS312,01,의약품공학(이),"예경무, 이병훈",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,화09:00-12:00(E4 - 113),,
145,기초학부,전체,LS314,01,생명과학 노벨상 수상의  위대한 발견(이),"이병훈, 이송이",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"월09:00-10:30(E7 - 229), 수09:00-10:30(E7 - 229)",,
146,기초학부,전체,LS403,01,발생 및 발달생물학(이),"백명인, 유성운, 곽준명",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화10:30-12:00(E7 - L22), 목10:30-12:00(E7 - L22)",,
147,기초학부,전체,LS406,01,"의생명공학(이,공)",이광,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,금09:00-12:00(E7 - 235),,
148,기초학부,전체,LS407a,01,인체생리학(이),"이재민, 김은경",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"월09:00-10:30(E4 - 406), 수09:00-10:30(E4 - 406)",,
149,기초학부,전체,LS410,01,현대 미생물학(이),"김유리, 정찬",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"월14:30-16:00(E7 - 229), 수14:30-16:00(E7 - 229)",,
150,기초학부,전체,LS411,01,계산뇌과학입문(이),"유우경, 김민환",심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"월10:30-12:00(E4 - 113), 수10:30-12:00(E4 - 113)",,
151,기초학부,전체,LS412,01,뇌질환(이),이성배,심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,N,"화09:00-10:30(E7 - 235), 목09:00-10:30(E7 - 235)",,
152,기초학부,전체,MECH201,01,고체역학(공),장경인,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"월13:00-14:30(E7 - 224), 수13:00-14:30(E7 - 224)",,
153,기초학부,전체,MECH301,01,인간과 공학(공),"김회준, 이성민, 박준혁, 남강현, 정소현, 김기섭",심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,금13:00-16:00(E7 - L21),,
154,기초학부,전체,MECH306,01,진동공학(공),임용섭,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"월10:30-12:00(E5 - 116), 수10:30-12:00(E5 - 116)",(MECH203) 동역학(공),
155,기초학부,전체,MECH309,01,자동제어시스템(공),박석호,심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"화10:30-12:00(E7 - 236), 목10:30-12:00(E7 - 236)",,
156,기초학부,전체,MECH311,01,유체역학(공),정소현,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,수17:30-20:30(E7 - 233),,
157,기초학부,전체,MECH313,01,로봇전자공학(공),박경서,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"월16:00-17:30(E5 - 217), 수16:00-17:30(E5 - 217)",(BE205) 회로이론과 계측법(이론),
158,기초학부,전체,MECH401,01,로봇동역학 및 제어(공),황민호,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"화10:30-12:00(E7 - G01), 목10:30-12:00(E7 - G01)","(MECH203) 동역학(공), (MECH309) 자동제어시스템(공)",
159,기초학부,전체,MECH402,01,마이크로/나노공학(공),이재홍,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"화13:00-14:30(E7 - 229), 목13:00-14:30(E7 - 229)","(MECH201) 고체역학 (공), (MECH311) 유체역학 (공)",
160,기초학부,전체,MECH407,01,모빌리티공학개론(공),이성민,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"화16:30-18:00(E5 - 217), 목16:30-18:00(E5 - 217)",,신규개설
161,기초학부,전체,MSE305a,01,"재료공학개론Ⅰ(이,공)",이주혁,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월09:00-10:30(E7 - L20), 수09:00-10:30(E7 - L20)",,
162,기초학부,전체,MSE307,01,재료공학실험(공),"김진수, 이성원, 이주혁, 이종수, 이신범",심화필수,교과,실습,심화,전공,트랙,,공학사,등급,3.0,0.0,6.0,N,Y,"수16:30-19:30(E6 - 223), 금13:00-16:00(E6 - 223)",,
163,기초학부,전체,MSE402,01,재료상변태(공),김진수,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,Y,"수10:30-12:00(E7 - 223), 금10:30-12:00(E7 - 223)",,
164,기초학부,전체,MSE407,01,재료의 기계적 거동(공),김영규,심화필수,교과,이론,심화,전공,트랙,,공학사,등급,3.0,3.0,0.0,N,N,"월13:30-15:00(E7 - L20), 수13:30-15:00(E7 - L20)",,신규개설
165,기초학부,전체,PHY202a,01,"해석역학Ⅰ(이,공)",이재동,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월16:00-17:30(E7 - G02), 수16:00-17:30(E7 - G02)",,
166,기초학부,전체,PHY205a,01,현대물리(이),김소연,심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"월11:00-12:30(E7 - L22), 수11:00-12:30(E7 - L22)",,
167,기초학부,전체,PHY302a,01,고급물리 실험(이),"박기성, 김소연, 서정필",심화필수,교과,실습,심화,전공,트랙,,이학사,등급,2.0,0.0,4.0,N,Y,"월13:00-15:00(E2 - 219), 수13:00-15:00(E2 - 219)",,
168,기초학부,전체,PHY304,01,"양자역학Ⅰ(이,공)",박기성,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월09:00-10:30(E7 - 223), 수09:00-10:30(E7 - 223)","(PHY202a) 해석역학Ⅰ(이,공) 또는 (PHY203a) 전기역학 I(이)",
169,기초학부,전체,PHY306,01,수리물리(이),최승호,심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - L31), 목09:00-10:30(E7 - L31)",,
170,기초학부,전체,PHY308,01,전기역학Ⅱ(이),유천열,심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화10:30-12:00(E2 - 525), 목10:30-12:00(E2 - 525)",,
171,기초학부,전체,PHY401,01,"현대광학(이,공)",이기준,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화10:30-12:00(E7 - L21), 목10:30-12:00(E7 - L21)",(PHY203a) 전기역학 I(이),
172,기초학부,전체,PHY403,01,"고체물리Ⅱ(이,공)",홍정일,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"월10:30-12:00(E2 - 324), 수10:30-12:00(E2 - 324)","(PHY304) 양자역학Ⅰ(이,공)",
173,기초학부,전체,PHY405,01,"생물물리학(이,공)",이종찬,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,금13:00-16:00(E7 - L22),,
174,기초학부,전체,PHY406,01,전산물리(이),강준구,심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화14:30-16:00(E7 - 229), 목14:30-16:00(E7 - 229)",,
175,기초학부,전체,PHY408,01,"원자분자물리학(이,공)",허승정,심화필수,교과,이론,심화,전공,트랙,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화13:00-14:30(E7 - G02), 목13:00-14:30(E7 - G02)",,신규개설
176,기초학부,전체,TP101,01,디자인 사고,박종래,심화필수,교과,이론,심화,전공,비트랙/융합,,,등급,3.0,3.0,0.0,N,N,월09:00-12:00(E7 - 237),,
177,기초학부,전체,TP202,01,"도심항공교통개론(이,공)",인수일,심화필수,교과,이론,심화,전공,비트랙/융합,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,월16:00-19:00(E7 - G03),,신규개설
178,기초학부,전체,TP301,01,커뮤니케이션과 현대사회,조성겸,심화필수,교과,이론,심화,전공,비트랙/융합,,,등급,3.0,3.0,0.0,N,N,금09:00-12:00(E7 - L31),,
179,기초학부,전체,TP305,01,게임이론,김선구,심화필수,교과,이론,심화,전공,비트랙/융합,,,등급,3.0,3.0,0.0,N,N,수14:30-17:30(E7 - L31),,
180,기초학부,전체,TP307a,01,UX디자인,박종래,심화필수,교과,이론,심화,전공,비트랙/융합,,,등급,3.0,3.0,0.0,N,N,수10:30-13:30(E7 - 237),,
181,기초학부,전체,TP308,01,생명에 대한 융합적 이해,남창훈,심화필수,교과,이론,심화,전공,비트랙/융합,,,등급,3.0,3.0,0.0,N,N,화09:00-12:00(E7 - G02),,
182,기초학부,전체,TP309,01,학부생을 위한 해석학 개론,안흥주,심화필수,교과,이론,심화,전공,비트랙/융합,,,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 223), 목09:00-10:30(E7 - 223)",,
183,기초학부,전체,TP310,01,현대대수학 개론,Hudson Thomas Bryan,심화필수,교과,이론,심화,전공,비트랙/융합,,,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 224), 목09:00-10:30(E7 - 224)",,
184,기초학부,전체,TP406,01,"텐서들의 기하학과 그 응용(이,공)",한강진,심화필수,교과,이론,심화,전공,비트랙/융합,,"이학사,공학사",등급,3.0,3.0,0.0,N,Y,"화13:00-14:30(E7 - L22), 목13:00-14:30(E7 - L22)",,신규개설
185,반도체공학과,전체,SM204,01,반도체공정개론(공)(반),권혁준,심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"월13:00-14:30(E7 - 242), 수13:00-14:30(E7 - 242)",,"* 반도체공학과 학생만 수강신청 가능하며, 기초학부의 반도체공정개론(EE404)과 동일과목으로 지정하며, 교차수강 및 중복수강 불가* 교과목 신설 시, 기초학부 기존 교과목인 반도체공정개론(공)을 기이수한 학생들은 수강이 인정됨"
186,반도체공학과,전체,SM303,01,전자소자개론(공)(반),이병문,심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"화10:30-12:00(E7 - 224), 목10:30-12:00(E7 - 224)",(SM203a) 반도체물성 개론(공)(반),"* 반도체공학과 학생만 수강신청 가능하며, 기초학부 전자소자개론(EE302)과 동일과목으로 지정하며, 교차수강 및 중복수강 불가* 교과목 신설 시, 기초학부 기존 교과목인 전자소자개론(공)을 기이수한 학생들은 수강이 인정됨"
187,반도체공학과,전체,SM304,01,전자회로 이론(공)(반),이정협,심화필수,교과,이론,심화,전공,전공심화,,공학사,등급,3.0,3.0,0.0,N,Y,"화14:30-16:00(E7 - 235), 목14:30-16:00(E7 - 235)","(BE205) 회로이론과 계측법(이론), (BE206) 회로이론과 계측법(실습)","* 반도체공학과 학생만 수강신청 가능하며, 기초학부 전기전자트랙의 전자회로이론(EE303)과 동일과목으로 지정하며 교차수강 및 중복수강 불가* 교과목 신설 시, 기초학부 기존 교과목인 전자회로이론(공)을 기이수한 학생들은 수강이 인정됨"
188,반도체공학과,전체,SM305,01,반도체공정실습(공)(반),"장재은, 최상현",심화필수,교과,실습,심화,전공,전공심화,,공학사,등급,3.0,0.0,3.0,N,Y,금13:00-16:00(R6 - 208),,"* 반도체공학과 학생만 수강신청 가능하며, 기초학부의 반도체공정실습(EE405)과 동일과목으로 지정하며, 교차수강 및 중복수강 불가"
