개설강좌,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과대분류,교과분야,교과영역,전공(트랙),학위구분,성적부여방법,학점,이론시수,실습시수,코드쉐어여부,영어강의여부,요일/교시/강의실,선수과목,비고
26,기초학부,전체,BS104a,07,일반물리실험Ⅰ,박기성,기초필수,교과,실습,기초,기초과학,물리,,,등급,1.0,0.0,2.0,N,Y,화13:00-15:00(E2 - 220),,"일반물리실험1의 07분반 (화요일 오후 1시부터-3시)은 외국인 학생들을 위한 분반입니다.   이 분반에서는 영어로 모든 수업과 보고서 제출, 프로젝트 발표 등이 진행됩니다.    Section 07 of General Physics Laboratory I (Tuesday, 1:00–3:00 PM) is a section designated for international students.   In this section, all classes, laboratory reports, and project presentations are conducted in English.  동일과목 : [대학](BS104) 고전역학 실험"
27,기초학부,전체,BS113,01,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,,,등급,1.0,0.0,2.0,N,N,수09:00-11:00(E6 - 221),,
28,기초학부,전체,BS113,02,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,,,등급,1.0,0.0,2.0,N,N,월09:00-11:00(E6 - 221),,
29,기초학부,전체,BS113,03,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,,,등급,1.0,0.0,2.0,N,N,월15:00-17:00(E6 - 221),,
30,기초학부,전체,BS113,04,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,,,등급,1.0,0.0,2.0,N,N,월13:00-15:00(E6 - 221),,
31,기초학부,전체,BS113,05,일반화학실험Ⅰ,민은선,기초필수,교과,실습,기초,기초과학,화학,,,등급,1.0,0.0,2.0,N,N,수14:00-16:00(E6 - 221),,
32,기초학부,전체,BS113,06,일반화학실험Ⅰ,Desta Kebede Taye,기초필수,교과,실습,기초,기초과학,화학,,,등급,1.0,0.0,2.0,N,Y,수16:00-18:00(E6 - 221),,"동일과목 : [대학](SE108) 기초화학실험 I, [대학](SE108a) 기초화학실험"
33,기초학부,전체,BS113,07,일반화학실험Ⅰ,Desta Kebede Taye,기초필수,교과,실습,기초,기초과학,화학,,,등급,1.0,0.0,2.0,N,Y,목13:00-15:00(E6 - 221),,"동일과목 : [대학](SE108) 기초화학실험 I, [대학](SE108a) 기초화학실험"
34,기초학부,전체,BS114,01,생명과학개론,이석규,기초필수,교과,이론,기초,기초과학,생명과학,,,등급,3.0,3.0,0.0,N,Y,"화11:00-12:30(E7 - 242), 목11:00-12:30(E7 - 242)",,
35,기초학부,전체,BS114,02,생명과학개론,이효상,기초필수,교과,이론,기초,기초과학,생명과학,,,등급,3.0,3.0,0.0,N,Y,"월16:30-18:00(E7 - 224), 금16:30-18:00(E7 - 224)",,
36,기초학부,전체,BS115,01,일반생물학 실험,김유리,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,월09:00-11:00(E4 - 224),,
37,기초학부,전체,BS115,02,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,수11:00-13:00(E4 - 224),,
38,기초학부,전체,BS115,03,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,화11:00-13:00(E4 - 224),,
39,기초학부,전체,BS115,04,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,목11:00-13:00(E4 - 224),,
40,기초학부,전체,BS115,05,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,수09:00-11:00(E4 - 224),,
41,기초학부,전체,BS115,06,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,수14:00-16:00(E4 - 224),,
42,기초학부,전체,BS115,07,일반생물학 실험,조정아,기초필수,교과,실습,기초,기초과학,생명과학,,,등급,1.0,0.0,2.0,N,Y,수16:00-18:00(E4 - 224),,
43,기초학부,전체,BS116,01,일반생물학Ⅰ,"정찬, 곽준명, 김민식",기초필수,교과,이론,기초,기초과학,생명과학,,,등급,3.0,3.0,0.0,N,Y,"월16:30-18:00(E7 - 236), 수16:30-18:00(E7 - 236)",,
44,기초학부,전체,BS118,01,일반화학Ⅰ,Desta Kebede Taye,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,월13:00-16:00(E7 - 241),,
45,기초학부,전체,BS118,02,일반화학Ⅰ,상가라쥬샨무감,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,"화14:00-15:30(E7 - 242), 목14:00-15:30(E7 - 242)",,
46,기초학부,전체,BS118,03,일반화학Ⅰ,남은주,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,"수09:00-10:30(E7 - 233), 금09:00-10:30(E7 - 233)",,
47,기초학부,전체,BS118,04,일반화학Ⅰ,Desta Kebede Taye,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,"화16:00-17:30(E7 - 242), 목16:00-17:30(E7 - 242)",,"동일과목 : [대학](BS112) 물질의 이해, [대학](SE107) 물질의 이해"
48,기초학부,전체,BS118,05,일반화학Ⅰ,Desta Kebede Taye,기초필수,교과,이론,기초,기초과학,화학,,,등급,3.0,3.0,0.0,N,Y,"화09:00-10:30(E7 - 242), 목09:00-10:30(E7 - 242)",,"동일과목 : [대학](BS112) 물질의 이해, [대학](SE107) 물질의 이해"
